Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
337,FRASER HEIGHTS/GUILDFORD EXCH/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent,49000,15000,8.6 km,27 km/h,82,1032586,3453,1698,1307,695,81%,2079708,21432,Guildford; Surrey Central,Expo/Millennium Line,26522.62633,2019,130,26522.62633
340,SCOTTSDALE EXCH/22ND ST STN,Southeast,Std. Bus,Peak Frequent,25000,9000,16.1 km,37 km/h,69,1327352,4173,2778,2249,3142,90%,2237161,20714,22nd Street; Scottsdale,Expo/Millennium Line,46399.15267,2019,131,46399.15267
341,GUILDFORD EXCH/NEWTON EXCH,Southeast,Std. Bus,Standard,49000,13000,9.1 km,24 km/h,80,1078325,3310,2328,2084,812,87%,1644012,15222,Guildford; Newton,None,18479.75998,2019,132,18479.75998
342,LANGLEY CENTRE/NEWTON EXCH,Southeast,Std. Bus,Standard,53000,26000,20.8 km,29 km/h,68,1338457,4238,2650,2283,4509,74%,2610077,24167,Cloverdale; Langley Centre; Newton,None,50914.69945,2019,133,50914.69945
345,KING GEORGE STN/WHITE ROCK CENTRE,Southeast,Std. Bus,Basic,60000,26000,20.1 km,27 km/h,91,915943,3669,0,0,4190,77%,1854259,17169,King George; White Rock Centre,Expo/Millennium Line,51621.54399,2019,134,51621.54399
351,CRESCENT BEACH/BRIDGEPORT STN,Southeast,Std. Bus,All Day Frequent,41000,16000,44.2 km,46 km/h,46,2180381,6618,4956,4312,6646,79%,7617118,70529,Bridgeport; Matthews; South Surrey; White Rock Centre,Canada Line,126010.0358,2019,135,126010.0358
352,OCEAN PARK /BRIDGEPORT STN,Southeast,Std. Bus,Peak Only Limited,18000,5000,44.8 km,51 km/h,157,143682,576,0,0,102,86%,696924,6453,Bridgeport; South Surrey,Canada Line,117231.5012,2019,136,117231.5012
354,WHITE ROCK SOUTH/BRIDGEPORT STN,Southeast,Std. Bus,Peak Only Limited,42000,19000,41 km,42 km/h,141,222368,891,0,0,2386,83%,858884,7953,Bridgeport; South Surrey; White Rock Centre,Canada Line,124217.7619,2019,137,124217.7619
360,OCEAN PARK/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Basic,28000,8000,12.2 km,30 km/h,178,82408,278,133,96,22,76%,551307,7990,White Rock Centre,None,20607.75189,2019,138,20607.75189
361,OCEAN PARK/WHITE ROCK CENTRE,Southeast,Mini-Bus,Basic,31000,10000,11.2 km,27 km/h,169,113819,379,191,148,5,85%,633787,9185,White Rock Centre,None,19923.97333,2019,139,19923.97333
362,SEASIDE/WHITE ROCK CENTRE,Southeast,Mini-Bus,Standard,20000,8000,3.5 km,19 km/h,183,74482,179,267,251,0,77%,347968,5043,White Rock Centre,None,10072.59962,2019,140,10072.59962
363,SOUTHPOINT/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Standard,38000,15000,11.9 km,24 km/h,139,238658,695,622,526,53,81%,1133149,16422,White Rock Centre,None,24150.61875,2019,141,24150.61875
364,LANGLEY CENTRE/SCOTTSDALE EXCH,Southeast,Std. Bus,Standard,61000,23000,21.7 km,27 km/h,63,1424389,4351,3183,2766,1955,74%,2413498,22347,Langley Centre; Scottsdale,None,55646.88235,2019,142,55646.88235
