Line,Line_Name,Sub_Region_of_Primary_Service,Predominant_Vehicle_Type,TSG_Service_Type,Population,Employment,Average_One_Way_Trip_Dist_km,AVG_speed_km_per_hr,RANK_Annual_Boardings,Annual_Boardings,AVG_Daily_Boardings_MF,AVG_Daily_Boardings_Sat,AVG_Daily_Boardings_SunHol,Annual_Revenue_Hours_with_Overc,On_Time_Performance_Percentage,Annual_Service_Cost,Annual_Service_Hours,Exchange_Connections,Rail_Connections,SHAPE__Length,TSPR_Year,OBJECTID,SHAPE__Length_2
350,WHITE ROCK CTR/CRESCENT BEACH,Southeast,Std. Bus,Standard,30000,10000,9,31 km/h,143,186923,526,536,436,0,93%,1999321,18518,White Rock Centre,None,16883.12111,2023,606,16883.12111
R4,41ST AVE,Vancouver/UBC,Artic. Bus,All Day Frequent,81000,36000,19.3,28 km/h,2,8843233,27865,18565,14175,23,88%,11975846,110482,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue; UBC,Canada Line; Expo/Millennium Line,47357.88152,2023,607,47357.88152
R5,HASTINGS STREET,Burnaby/New Westminster,Artic. Bus,All Day Frequent,81000,177000,12.5,24 km/h,9,4665992,14635,9737,7797,14,80%,9070074,77319,Burrard; Kootenay; SFU; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40036.21645,2023,608,40036.21645
R3,LOUGHEED HWY,Maple Ridge/Pitt Meadows,Artic. Bus,All Day Frequent,25000,17000,17.3,37 km/h,76,1001110,3014,2401,1930,0,92%,4828579,44784,Coquitlam Central; Haney Place,Expo/Millennium Line; West Coast Express,44874.45515,2023,609,44874.45515
31,METROTOWN STATION/RIVER DISTRICT,Vancouver/UBC,Mini-Bus,Standard,43000,29000,5.4,23 km/h,132,269308,804,678,520,0,82%,506783,9119,Metrotown,Expo/Millennium Line,10940.99754,2023,610,10940.99754
245,PHIBBS/CAPILANO,North Shore,Std. Bus,Peak Frequent,6000,5000,3.8,23 km/h,105,611724,2323,307,176,1,91%,1834450,15693,Capilano University; Phibbs,None,7253.041771,2023,611,7253.041771
80,MARINE DR STN/RIVER DISTRICT,Vancouver/UBC,Std. Trolley,Peak Only - Limited,33000,13000,7,21 km/h,168,74863,418,0,0,0,95%,,2548,Knight Street-Marine Drive; Marine Drive,Canada Line,21091.14669,2023,612,21091.14669
102/103,NEW WESTMINSTER STN/VICTORIA  HILL/QUAYSIDE,Burnaby/New Westminster,Mini-Bus,All Day Frequent,30000,14000,2.2,15 km/h,121,451326,1390,1020,793,0,90%,,18492,Columbia; New Westminster,Expo/Millennium Line,8062.737318,2023,613,8062.737319
2,MACDONALD/BURRARD STN,Vancouver/UBC,Artic. Bus,All Day Frequent,99000,157000,8.5,18 km/h,23,3126576,9238,7958,6346,2,78%,6711208,49850,Burrard; Dunbar,Expo/Millennium Line,20573.67545,2024,614,20573.67545
3,MAIN/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,105000,176000,10.5,14 km/h,17,3559831,10356,9388,7585,1,73%,6169846,54705,Main Street-Science World; Marine Drive; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,22572.01022,2024,615,22572.01022
4,POWELL/DOWNTOWN/UBC,Vancouver/UBC,Std. Trolley,Peak Frequent,154000,232000,13.3,18 km/h,33,2359286,6837,6213,5137,5,71%,6707529,64050,Blanca; Granville; NightBus District; UBC; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,46319.76862,2024,616,46319.76862
005/006,ROBSON/DOWNTOWN/DAVIE,Vancouver/UBC,Std. Trolley,All Day Frequent,138000,189000,2.9,10 km/h,12,4342385,12649,11117,9458,3,80%,8618773,80792,Burrard; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,11160.27408,2024,617,11160.27408
7,NANAIMO STN/DUNBAR,Vancouver/UBC,Std. Trolley,Peak Frequent,178000,225000,14.8,16 km/h,20,3335298,9822,8607,6799,3,66%,8275104,77629,Dunbar; Granville; Nanaimo; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,42065.66338,2024,618,42065.66338
8,FRASER/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,101000,173000,7.2,14 km/h,26,2943726,8741,7150,6082,1,72%,5458270,50051,Main Street-Science World; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,19962.39592,2024,619,19962.39592
9,BDRY/COMM-BWY/GRAN/ALMA/UBC,Vancouver/UBC,Std. Bus,All Day Frequent,125000,123000,9.4,16 km/h,16,3993678,12112,8792,8010,14,81%,9465116,75918,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,32976.69727,2024,620,32976.69727
10,GRANVILLE/WATERFRONT STN,Vancouver/UBC,Artic. Trolley,All Day Frequent,126000,205000,11.5,16 km/h,28,2879359,8791,6489,5429,0,68%,6215234,55427,Granville; Marine Drive; Marpole; NightBus District; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,31287.91151,2024,621,31287.91151
14,HASTINGS/UBC,Vancouver/UBC,Std. Trolley,All Day Frequent,176000,246000,14,17 km/h,22,3245872,9080,9547,7515,7,71%,9219388,84772,Blanca; Granville; Kootenay; NightBus District; UBC; Vancouver City Centre,Canada Line; Expo/Millennium Line,42302.35073,2024,622,42302.35073
015/050,CAMBIE/OLYMPIC VILLAGE STN/WATERFRONT STN/FALSE CREEK SOUTH,Vancouver/UBC,Std. Bus,Peak Frequent,163000,252000,7.1,15 km/h,34,2347400,6728,6199,5381,3,74%,6211980,58311,Broadway-City Hall; Granville; King Edward; Langara-49th Avenue; Marine Drive; NightBus District; Oakridge-41st Avenue; Olympic Village; Vancouver City Centre; Waterfront,Canada Line; Expo/Millennium Line; West Coast Express,40758.90029,2024,623,40758.90029
16,29TH AVENUE STN/ARBUTUS,Vancouver/UBC,Std. Trolley,All Day Frequent,186000,248000,18.4,16 km/h,6,5316227,16009,12638,10352,9,74%,10987222,102251,29th Avenue; Granville; NightBus District; Renfrew; Vancouver City Centre,Canada Line; Expo/Millennium Line,45251.41512,2024,624,45251.41512
17,DOWNTOWN/OAK,Vancouver/UBC,Std. Trolley,All Day Frequent,123000,216000,12.3,16 km/h,42,2012206,6121,4502,3906,1,65%,5286047,46721,Broadway-City Hall; Granville; Marine Drive; Vancouver City Centre,Canada Line; Expo/Millennium Line,26168.28377,2024,625,26168.28377
19,METROTOWN STN/STANLEY PARK,Vancouver/UBC,Std. Trolley,All Day Frequent,178000,218000,10.6,14 km/h,10,4378439,12302,11874,10737,6,70%,9455227,89943,Burrard; Main Street-Science World; Metrotown; Stanley Park,Expo/Millennium Line,28000.0705,2024,626,28000.0705
20,VICTORIA/DOWNTOWN,Vancouver/UBC,Artic. Trolley,All Day Frequent,133000,202000,9.2,14 km/h,14,4232015,12601,10106,8752,1,77%,8078562,67067,Commercial-Broadway; Granville; Vancouver City Centre,Canada Line; Expo/Millennium Line,21331.73102,2024,627,21331.73102
22,KNIGHT/DOWNTOWN,Vancouver/UBC,Std. Bus,All Day Frequent,134000,213000,10.5,16 km/h,29,2777619,8534,6093,5168,9,81%,6328894,58663,Burrard; Knight Street-Marine Drive; Main Street-Science World,Expo/Millennium Line,39418.72781,2024,628,39418.72781
23,MAIN ST STN/ENGLISH BAY,Vancouver/UBC,Std. Bus,All Day Frequent,116000,123000,5.5,15 km/h,54,1522842,4437,4022,3214,2,78%,2502085,47482,Main Street-Science World; Stadium-Chinatown; Yaletown-Roundhouse,Canada Line; Expo/Millennium Line,13951.23647,2024,629,13951.23647
25,BRENTWOOD STN/UBC,Vancouver/UBC,Artic. Bus,All Day Frequent,121000,69000,18.3,21 km/h,4,6360716,19935,13311,10844,7,67%,12000638,102193,Brentwood Town Centre; King Edward; Nanaimo; UBC,Canada Line; Expo/Millennium Line,59843.49876,2024,630,59843.49876
26,JOYCE STN/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,67000,14000,9.9,19 km/h,64,1230506,3923,2536,1876,0,88%,2951485,27250,29th Avenue; Joyce-Collingwood,Expo/Millennium Line,19092.46209,2024,631,19092.46209
27,KOOTENAY LOOP/JOYCE STN,Vancouver/UBC,Std. Bus,Peak Frequent,61000,25000,5.7,16 km/h,67,1202014,3663,2903,2139,0,85%,2093618,19647,Joyce-Collingwood; Kootenay; Rupert,Expo/Millennium Line,19823.11153,2024,632,19823.11153
28,PHIBBS EXCH/JOYCE STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,65000,38000,7.2,21 km/h,50,1574246,4946,3177,2731,1,81%,3563545,34433,Gilmore; Joyce-Collingwood; Kootenay; Phibbs,Expo/Millennium Line,30134.89294,2024,633,30134.89294
29,ELLIOTT/29TH AVENUE STN,Vancouver/UBC,Std. Bus,Peak Frequent,34000,6000,4.5,17 km/h,101,666265,2090,1450,1085,0,90%,1216024,11775,29th Avenue,Expo/Millennium Line,7372.395142,2024,634,7372.395142
31,METROTOWN STATION/RIVER DISTRICT,Vancouver/UBC,Mini-Bus,Standard,46000,25000,5.4,23 km/h,129,297278,901,718,548,1,78%,506783,9548,Metrotown,Expo/Millennium Line,10940.99729,2024,635,10940.99729
33,29 AVE STN/ UBC,Vancouver/UBC,Std. Bus,Peak Frequent,102000,42000,17.9,21 km/h,35,2284183,7457,4073,3316,16,77%,4547934,43082,29th Avenue; King Edward; UBC,Canada Line; Expo/Millennium Line,40278.88239,2024,636,40278.88239
41,JOYCE STN/CROWN,Vancouver/UBC,Std. Trolley,All Day Frequent,85000,25000,8.4,20 km/h,39,2082335,5723,5773,5495,1,82%,5372942,49911,Dunbar; Joyce-Collingwood; Oakridge-41st Avenue,Canada Line; Expo/Millennium Line,27300.00577,2024,637,27300.00577
49,METROTOWN STN/DUNBAR LOOP/UBC,Vancouver/UBC,Artic. Bus,All Day Frequent,109000,77000,16,22 km/h,3,8499489,26847,16837,14446,20,71%,12012080,119176,Dunbar; Langara-49th Avenue; Metrotown; UBC,Canada Line; Expo/Millennium Line,44939.00069,2024,638,44939.00069
68,UBC EXCHANGE/WESBROOK VILLAGE,Vancouver/UBC,Mini-Bus,Standard,19000,17000,6.1,21 km/h,118,478231,1386,1209,1080,0,90%,927485,18745,,,13685.7673,2024,639,13685.7673
80,MARINE DR STN/RIVER DISTRICT,Vancouver/UBC,Std. Bus,Peak Only - Limited,35000,16000,7,22 km/h,153,129358,517,0,523,3,95%,,3558,Marine Drive,Canada Line,21091.14673,2024,640,21091.14673
84,UBC/VCC-CLARK STATION,Vancouver/UBC,Artic. Bus,Peak Frequent,88000,97000,13.7,23 km/h,37,2167861,7278,4117,2176,4,79%,4167713,33742,Olympic Village; UBC; VCC-Clark,Canada Line; Expo/Millennium Line,29058.53603,2024,641,29058.53603
99,COMMERCIAL-BROADWAY/UBC (B-LINE),Vancouver/UBC,Artic. Bus,All Day Frequent,105000,112000,14.2,20 km/h,1,10623737,34161,21424,15439,22,79%,14749254,116792,Boundary; Broadway-City Hall; Commercial-Broadway; UBC,Canada Line; Expo/Millennium Line,31566.37133,2024,642,31566.37133
100,22ND ST STN/MARPOLE LOOP,Vancouver/UBC,Std. Bus,All Day Frequent,62000,39000,16.4,23 km/h,18,3501686,10497,7941,7307,9,86%,7619749,68277,22nd Street; Knight Street-Marine Drive; Marine Drive; Marpole,Canada Line; Expo/Millennium Line,40889.34099,2024,643,40889.34099
101,LOUGHEED STN/22ND ST STN,Burnaby/New Westminster,Std. Bus,Standard,88000,35000,9.5,19 km/h,84,927683,2914,1894,1595,3,83%,2388155,23476,22nd Street; Edmonds; Lougheed Town Centre,Expo/Millennium Line,23687.04113,2024,644,23687.04113
102/103,NEW WESTMINSTER STN/VICTORIA  HILL/QUAYSIDE,Burnaby/New Westminster,Mini-Bus,All Day Frequent,34000,16000,2.2,17 km/h,116,484711,1496,1083,860,0,86%,,19503,Columbia; New Westminster,Expo/Millennium Line,8062.737106,2024,645,8062.737106
104,22ND ST STN/ANNACIS ISLAND,Southeast,Std. Bus,Peak Frequent,14000,18000,8.1,25 km/h,89,884970,3069,1281,832,4,81%,1899527,20002,22nd Street,Expo/Millennium Line,27643.93488,2024,646,27643.93488
105,UPTOWN/NEW WESTMINSTER STATION,Burnaby/New Westminster,Mini-Bus,Standard,44000,21000,6.8,17 km/h,134,270910,809,690,518,0,73%,873377,12683,Columbia; New Westminster,Expo/Millennium Line,14314.83094,2024,647,14314.83094
106,NEW WESTMINSTER STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,66000,28000,6.3,14 km/h,25,3013356,9175,7172,5475,7,86%,3861542,37812,Edmonds; New Westminster,Expo/Millennium Line,10849.73405,2024,648,10849.73405
109,NEW WESTMINSTER STN/LOUGHEED STN,Burnaby/New Westminster,Mini-Bus,Basic,62000,31000,7.3,21 km/h,149,153372,484,311,258,0,87%,688698,10297,Columbia; Lougheed Town Centre; New Westminster; Sapperton,Expo/Millennium Line,12061.27338,2024,649,12061.27338
110,LOUGHEED STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Standard,87000,58000,11.8,22 km/h,86,902144,2903,1643,1443,1,82%,3383442,32243,Lougheed Town Centre; Metrotown; Patterson; Production Way-University; Sperling-Burnaby Lake,Expo/Millennium Line,38513.2888,2024,650,38513.2888
112,EDMONDS STN/NEW WEST STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,55000,20000,4.2,17 km/h,72,1140726,3564,2648,1779,1,92%,2014423,19581,Edmonds; New Westminster,Expo/Millennium Line,9072.153476,2024,651,9072.153476
116,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,63000,53000,14.1,24 km/h,70,1190813,4200,1385,1124,12,90%,3129565,29753,Edmonds; Metrotown,Expo/Millennium Line,37917.28588,2024,652,37917.28588
119,EDMONDS STN/METROTOWN STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,75000,39000,5.7,16 km/h,44,1899914,5613,4755,3924,3,94%,3262043,30225,Edmonds; Metrotown,Expo/Millennium Line,9188.355243,2024,653,9188.355243
123,NEW WEST STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,All Day Frequent,79000,56000,7.8,19 km/h,40,2049636,6328,4425,3753,5,84%,4459387,44577,Brentwood Town Centre; New Westminster,Expo/Millennium Line,24897.76716,2024,654,24897.76716
128,BRAID STN/22ND STREET STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,29000,22000,5.5,20 km/h,93,807410,2686,1337,1061,1,92%,1955923,19911,22nd Street; Braid,Expo/Millennium Line,11435.20694,2024,655,11435.20694
129/133,PATTERSON STN/HOLDOM STN/EDMONDS STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,130000,74000,9.9,20 km/h,46,1776095,5757,3297,2633,2,74%,4692654,43966,Edmonds; Gilmore; Holdom; Metrotown; Patterson,Expo/Millennium Line,37041.30271,2024,656,37041.30271
130,METROTOWN/PENDER/KOOTENAY,Burnaby/New Westminster,Std. Bus,All Day Frequent,82000,58000,7.7,18 km/h,21,3255555,10241,7042,5222,10,76%,5213284,52933,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,31052.23084,2024,657,31052.23084
131,HASTINGS AT GILMORE/KOOTENAY LOOP,Burnaby/New Westminster,Mini-Bus,Basic,21000,7000,4.5,20 km/h,182,38657,126,68,59,0,82%,388469,5581,,,8954.284716,2024,658,8954.284716
132,CAPITOL HILL/HASTINGS AT GILMORE,Burnaby/New Westminster,Mini-Bus,Basic,15000,6000,3.8,21 km/h,181,39646,128,76,60,0,81%,176024,2624,,,6925.444043,2024,659,6925.444043
134,LAKE CITY STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,51000,26000,9.4,23 km/h,122,445707,1373,935,849,0,86%,1875190,18939,Brentwood Town Centre; Lake City Way; Sperling-Burnaby Lake,Expo/Millennium Line,30174.22707,2024,660,30174.22707
136,LOUGHEED STN/BRENTWOOD STN,Burnaby/New Westminster,Std. Bus,Standard,68000,45000,11,24 km/h,123,434166,1361,915,734,0,85%,1997044,21261,Brentwood Town Centre; Holdom; Lougheed Town Centre; Production Way-University,Expo/Millennium Line,29842.08589,2024,661,29842.08589
143,BURQUITLAM STN/SFU,Northeast Sector,Artic. Bus,Peak Frequent,24000,7000,7,31 km/h,121,455804,1829,0,380,2,93%,1144003,9280,Burquitlam; SFU,Expo/Millennium Line,17812.79655,2024,662,17812.79655
144,SFU/METROTOWN STN,Burnaby/New Westminster,Std. Bus,Peak Frequent,72000,39000,15,24 km/h,53,1529297,4947,3002,2176,2,83%,4400883,42605,Metrotown; SFU; Sperling-Burnaby Lake,Expo/Millennium Line,38961.03474,2024,663,38961.03474
145,SFU/PRODUCTION STN,Burnaby/New Westminster,Artic. Bus,Peak Frequent,16000,18000,8.1,30 km/h,56,1416602,5007,1681,1269,6,95%,3060437,25989,Production Way-University; SFU,Expo/Millennium Line,21713.66175,2024,664,21713.66175
146,METROTOWN STN/SUNCREST,Burnaby/New Westminster,Mini-Bus,Standard,40000,28000,3.4,22 km/h,160,104571,323,210,203,0,86%,393010,6265,Metrotown,Expo/Millennium Line,7664.29429,2024,665,7664.29429
147,METROTOWN STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,67000,32000,6.7,22 km/h,114,496237,1529,1092,903,1,94%,1103161,17493,Edmonds; Metrotown,Expo/Millennium Line,11401.75944,2024,666,11401.75944
148,ROYAL OAK STN/EDMONDS STN,Burnaby/New Westminster,Mini-Bus,Peak Frequent,45000,30000,6.3,26 km/h,125,391934,1247,704,690,0,88%,797451,12196,Edmonds; Royal Oak,Expo/Millennium Line,10609.24718,2024,667,10609.24718
151,COQUITLAM CTRL STN/BURQUITLAM STN,Northeast Sector,Std. Bus,Standard,47000,19000,7.7,28 km/h,126,389281,1213,776,722,0,93%,1676540,15582,Burquitlam; Coquitlam Central,Expo/Millennium Line; West Coast Express,20317.7087,2024,668,20317.7087
152,COQUITLAM CENTRAL STN/LOUGHEED STN,Northeast Sector,Std. Bus,Peak Frequent,59000,28000,13.1,24 km/h,90,880407,2850,1638,1317,1,92%,2420260,22829,Coquitlam Central; Lougheed Town Centre,Expo/Millennium Line; West Coast Express,32594.96036,2024,669,32594.96036
153,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Peak Frequent,38000,25000,9.8,26 km/h,97,691554,2304,1143,899,1,87%,2098341,21084,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,21722.13501,2024,670,21722.13501
155,BRAID STN/22ND STREET  STN,Burnaby/New Westminster,Std. Bus,Standard,40000,27000,7.5,18 km/h,104,655274,2009,1470,1210,1,91%,1716910,17815,22nd Street; Braid,Expo/Millennium Line,12410.5921,2024,671,12410.5921
156,BRAID STN/LOUGHEED STN,Northeast Sector,Std. Bus,Basic,69000,30000,15,24 km/h,96,693038,2225,1628,836,1,81%,2225725,20689,Braid; Burquitlam; Lougheed Town Centre,Expo/Millennium Line,26834.18499,2024,672,26834.18499
157,BURQUITLAM STN/LOUGHEED STN,Northeast Sector,Std. Bus,Standard,56000,20000,10.8,23 km/h,117,484395,1487,1059,909,1,90%,1568326,18822,Burquitlam; Lougheed Town Centre,Expo/Millennium Line,19577.06331,2024,673,19577.06331
159,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Std. Bus,Basic,52000,45000,16.6,26 km/h,95,736701,2393,1589,894,4,83%,2910476,26718,Braid; Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,45981.26801,2024,674,45981.26801
160,PORT COQUITLAM STN/KOOTENAY LOOP,Northeast Sector,Std. Bus,All Day Frequent,94000,44000,26.1,26 km/h,63,1240907,3743,2927,2409,0,77%,6819111,63392,Coquitlam Central; Inlet Centre; Kootenay; Lafarge Lake-Douglas; Lincoln; Moody Centre; Port Coquitlam,Expo/Millennium Line; West Coast Express,65199.98355,2024,675,65199.98355
169,COQUITLAM CENTRAL STN/BRAID STN,Northeast Sector,Mini-Bus,Standard,23000,28000,11.1,29 km/h,128,317237,841,927,918,0,93%,1232335,16177,Braid; Coquitlam Central,Expo/Millennium Line; West Coast Express,29076.44064,2024,676,29076.44064
170,PT COQUITLAM STN/PT COQUITLAM SOUTH,Northeast Sector,Mini-Bus,Peak Frequent,22000,10000,4.1,23 km/h,167,89117,308,119,97,0,92%,635036,9248,Port Coquitlam,West Coast Express,12476.92815,2024,677,12476.92815
171/172,COQUITLAM CENTRAL STN/RIVERSIDE/FREMONT,Northeast Sector,Mini-Bus,Basic,41000,21000,8.8,26 km/h,112,536812,1772,1087,599,0,84%,1875192,26958,Coquitlam Central,Expo/Millennium Line; West Coast Express,31606.55471,2024,678,31606.55471
173/174,COQUITLAM CENTRAL STN/CEDAR/ROCKLIN,Northeast Sector,Mini-Bus,Basic,57000,25000,10.8,25 km/h,127,389002,1280,747,483,0,73%,2454023,36648,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,37671.85589,2024,679,37671.85589
175,COQUITLAM CENTRAL STN/MERIDIAN,Northeast Sector,Mini-Bus,Peak Only - Limited,30000,29000,7.4,21 km/h,163,94735,379,0,272,0,78%,415211,6090,Coquitlam Central; Port Coquitlam,Expo/Millennium Line; West Coast Express,17754.917,2024,680,17754.917
180,MOODY CTR STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent,54000,20000,9.1,23 km/h,99,680747,2251,1127,947,0,88%,2307460,28873,Burquitlam; Lougheed Town Centre; Moody Centre,Expo/Millennium Line; West Coast Express,17452.58521,2024,681,17452.58521
181,MOODY CTR STN/IOCO,Northeast Sector,Mini-Bus,Basic,20000,9000,12.3,31 km/h,177,58320,195,100,70,0,87%,483298,7305,Moody Centre,Expo/Millennium Line; West Coast Express,29676.43428,2024,682,29676.43428
182,MOODY CTR STN/BELCARRA,Northeast Sector,Mini-Bus,Basic,23000,10000,19.3,33 km/h,159,105897,337,197,179,0,76%,900376,13793,Moody Centre,Expo/Millennium Line; West Coast Express,32886.2408,2024,683,32886.2408
183,MOODY CTR STN/COQUITLAM CENTRAL STN,Northeast Sector,Std. Bus,Peak Frequent,71000,28000,13.3,24 km/h,120,460058,1522,765,637,0,86%,2740231,30098,Coquitlam Central; Inlet Centre; Lafarge Lake-Douglas; Lincoln; Moody Centre,Expo/Millennium Line; West Coast Express,26726.54736,2024,684,26726.54736
184/185,COQUITLAM CENTRAL STN/LANSDOWNE/MOODY CTR STN/NOONS CREEK,Northeast Sector,Mini-Bus,Peak Frequent,40000,23000,5.3,25 km/h,141,220649,735,361,289,0,90%,1458260,21055,Coquitlam Central; Inlet Centre; Moody Centre,Expo/Millennium Line; West Coast Express,19585.63601,2024,685,19585.63601
186,COQUITLAM CENTRAL STN/HAMPTON PARK,Northeast Sector,Mini-Bus,Peak Frequent,43000,17000,6.5,23 km/h,138,238725,758,476,389,1,88%,845912,13012,Coquitlam Central; Lafarge Lake-Douglas; Lincoln,Expo/Millennium Line; West Coast Express,15677.75266,2024,686,15677.75266
187,COQUITLAM CENTRAL STN/PARKWAY BLVD,Northeast Sector,Mini-Bus,Peak Frequent,32000,16000,6.5,24 km/h,135,270818,874,503,415,0,87%,948494,14116,Coquitlam Central,Expo/Millennium Line; West Coast Express,19709.30796,2024,687,19709.30796
188,COQUITLAM CENTRAL STN/PORT COQ STN,Northeast Sector,Std. Bus,Peak Frequent,68000,28000,12.6,26 km/h,106,620190,2018,1131,907,1,90%,2725301,25954,Coquitlam Central; Lafarge Lake-Douglas; Lincoln; Port Coquitlam,Expo/Millennium Line; West Coast Express,27215.45585,2024,688,27215.45585
189,COQUITLAM CENTRAL STN/LAFARGE PARK,Northeast Sector,Mini-Bus,Standard,26000,13000,4.1,20 km/h,166,91324,288,180,156,0,89%,620567,7463,Coquitlam Central,Expo/Millennium Line; West Coast Express,9306.995536,2024,689,9306.995536
191,COQUITLAM CENTRAL STN/PRINCETON,Northeast Sector,Std. Bus,Standard,44000,16000,7.2,23 km/h,136,260378,834,509,405,0,84%,1071518,10043,Coquitlam Central; Lafarge Lake-Douglas,Expo/Millennium Line; West Coast Express,20946.73304,2024,690,20946.73304
209,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Special,102000,185000,14.3,24 km/h,151,135736,374,410,330,0,84%,843487,7885,Burrard; Lynn Valley; NightBus District; Phibbs,Expo/Millennium Line,38955.68482,2024,691,38955.68482
210,UPPER LYNN VALLEY/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,101000,182000,9.6,22 km/h,92,852302,2732,1646,1331,1,81%,3275118,30677,Burrard; Lynn Valley; NightBus District; Phibbs,Expo/Millennium Line,41754.42338,2024,692,41754.42338
211,SEYMOUR/PHIBBS EXCH/BURRARD STATION,North Shore,Std. Bus,Peak Frequent,102000,185000,12.9,26 km/h,100,669559,2063,1403,1276,1,76%,2802958,27273,Burrard; Capilano University; Deep Cove; NightBus District; Phibbs,Expo/Millennium Line,55281.14804,2024,693,55281.14804
212,DEEP COVE/PHIBBS EXCH,North Shore,Std. Bus,Basic,18000,12000,8.8,29 km/h,137,255750,778,551,513,0,89%,1175693,11214,,,16700.3054,2024,694,16700.3054
215,INDIAN RIVER/PHIBBS EXCH,North Shore,Mini-Bus,Peak Frequent,19000,12000,6.8,27 km/h,143,203851,675,353,267,1,91%,967479,10956,,,15283.10667,2024,695,15283.10667
222,METROTOWN STATION/PHIBBS EXCHANGE,North Shore,Std. Bus,Peak Only - Limited,75000,53000,11.8,23 km/h,81,946139,3793,0,1650,10,81%,1821274,17586,Brentwood Town Centre; Kootenay; Metrotown; Phibbs,Expo/Millennium Line,30368.49602,2024,696,30368.49602
227,LYNN VALLEY/PHIBBS EXCHANGE,North Shore,Mini-Bus,Standard,21000,9000,7.4,24 km/h,150,138524,353,456,415,0,92%,741934,9297,,,12699.02641,2024,697,12699.02641
228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent,46000,20000,5.8,20 km/h,111,567917,1737,1307,1039,1,83%,2147431,20100,,,17683.33914,2024,698,17683.33914
229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard,56000,29000,6.3,16 km/h,87,894467,2664,2269,1741,2,84%,2210112,20650,,,11428.22446,2024,699,11428.22446
230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard,47000,25000,6.2,15 km/h,98,686026,2159,1525,1063,3,84%,1813804,16901,,,12982.03988,2024,700,12982.03988
231,HARBOURSIDE/LONSDALE QUAY,North Shore,Std. Bus,Peak Only - Limited,21000,19000,2.6,16 km/h,189,18114,73,0,34,0,91%,129821,1176,,,4192.360029,2024,701,4192.360029
232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard,55000,25000,11.9,20 km/h,105,633086,1929,1408,1224,0,78%,2271519,21349,,,27752.13085,2024,702,27752.13085
236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Standard,35000,26000,7.2,22 km/h,115,485881,1248,1606,1411,0,84%,2247165,20734,,,18095.92104,2024,703,18095.92104
240,LYNN VALLEY/DOWNTOWN,North Shore,Std. Bus,All Day Frequent,114000,188000,12.9,20 km/h,27,2922507,8808,7175,5481,8,70%,6695653,59824,Lynn Valley; Vancouver City Centre,Canada Line; Expo/Millennium Line,29786.85159,2024,704,29786.85159
241,UPPER LONSDALE/DOWNTOWN,North Shore,Std. Bus,Peak Only - Limited,107000,187000,11.4,19 km/h,131,282480,1132,0,721,2,71%,923512,8577,Vancouver City Centre,Canada Line; Expo/Millennium Line,26514.52815,2024,705,26514.52815
